ordinal,form_code,source_page,source_locator,source_refs,original_text,proposal_id,proposal_digest,decision_kind,result_history_state,source_mapping_state
1,AGA 048.100,1,PDF page 1; protocol AGA 048.100; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,"Is a maintenance mechanism established at the aerodrome to maintain facilities in a condition which does not impair the safety, regularity, or efficiency of air navigation?",proposal-preview-79ed818f6480a400,sha256:77454a231cde8e5f202fae8ab4d02b34f1e1df6e006888888c20d985ed1c8bc5,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
2,AGA 048.102,1,PDF page 1; protocol AGA 048.102; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Is a system of preventive maintenance of disabled aircraft removal equipment employed to ensure effectiveness of the equipment and compliance with the specified procedure for the removal of disabled aircraft?,proposal-preview-15752e078e577715,sha256:dfd56af6a2395a96797eabe8b274923103e4c878c5177cb4cb04b7cb3ae21b8d,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
3,AGA 048.104,2,PDF page 2; protocol AGA 048.104; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Is a system of reducing wildlife strikes employed at the aerodrome?,proposal-preview-751c35c86a234409,sha256:60cfb95cefa965b5d982da8f3db1a07f12af9beb129d2d203fefb62328d496b8,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
4,AGA 048.106,2,PDF page 2; protocol AGA 048.106; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,"Is a system of preventive maintenance of electrical system employed to ensure effectiveness of the equipment and compliance with the specified requirements for primary supply, secondary supply, and switch-over time?",proposal-preview-2c91b6d75d608e51,sha256:88f5e557e2514be8511dab7ce16ed0936a0ef52fe1f1c7e099a97a2ed6177914,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
5,AGA 048.202,2,PDF page 2; protocol AGA 048.202; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Are the surfaces of all movement areas inspected and their conditions monitored regularly as part of an aerodrome preventive and corrective maintenance mechanism with the objective of avoiding and eliminating any loose objects/debris that might cause damage to aircraft or impair the operation of aircraft systems?,proposal-preview-831cda1b45c2152a,sha256:02e9cd3cd9e3303c72b7b6f0e56cb085fa0d4b5ba2e8831add74323a8723fa3c,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
6,AGA 048.204,3,PDF page 3; protocol AGA 048.204; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Is the surface of the runway and taxiway shoulders maintained to be free of any loose stones or other objects that could be ingested by the aeroplane engines?,proposal-preview-2a596d013ac48fea,sha256:0e56a6b87de8e14f5bb2ccd4dd9cc92b06213d69dd4632114c290da03fa36bc3,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
7,AGA 048.206,3,PDF page 3; protocol AGA 048.206; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,"Is there a programme in place to ensure that standing water, mud, dust, sand, oil, rubber deposits and other contaminants are removed from the surface of runways in use as rapidly and completely as possible to minimize accumulation?",proposal-preview-fc2c5322af5d50a5,sha256:a7fdc97c0eb740b9817021de1bd0cf0d7171c5de36c54574b93f6db0209c9ae6,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
8,AGA 048.208,3,PDF page 3; protocol AGA 048.208; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Does the preventive maintenance programme include the water hydrant system?,proposal-preview-4ffcda92a6efb3ca,sha256:9b6d6325be0a885ec8d3613d4d3fefdb088ab2a02d6d73f5dc2fd490852faf0c,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
9,AGA 048.210,3,PDF page 3; protocol AGA 048.210; Protocol question column,NAMCARs 139.17.2; NAMCATS 139.17.2,Does the preventive maintenance programme include the sweepers and other pavement maintenance vehicles?,proposal-preview-50ee8f99d693a6a2,sha256:130bad99548f3faaa8081aeae5ac195e6b330ad17d388898181a0ee0c4768b53,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
10,AGA 048.302,4,PDF page 4; protocol AGA 048.302; Protocol question column,NAMCARs 139.17.6; NAMCATS 139.17.6,"Is a system of preventive maintenance of visual aids employed to ensure lighting, marking, signage and electrical system reliability?",proposal-preview-68f26dd476da4f2b,sha256:7595c50673b059628caa40fa76ee436295e53bab325a6cddc64abe4952cc0ec6,,NOT_SUPPLIED,SOURCE_MAPPING_REQUIRED
