form_code,protocol_code,ordinal,source_page,source_locator,source_refs,original_text,text_digest,proposal_id,proposed_risk_band,proposed_risk_domain,safety_critical_proposal,source_mapping_state,source_authority_state,risk_classification_state,decision_state
"FSS-AGA-FORM-002","AGA 002.101","1","1","raw PDF page 1; AGA 002.101; Protocol question column","NAMCARs 139.10.2 | NAMCATS 139.10.2","Has the applicant determined the equivalent of civilian aerodrome reference code for the military aerodrome?","sha256:60e3f5c234faaa7ba1ba40636cbbbd116965c8df9066b186f272c6b0c4c61a4a","all-forms-preview-002-0001","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","false","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.102","2","1","raw PDF page 1; AGA 002.102; Protocol question column","NAMCARs 139.10.2 | NAMCATS 139.10.2","Does the selected aerodrome reference code correspond to the outer main gear wheel span of the civilian aircraft intended to be used?","sha256:34f9bdf4e2421dddc2ad958ba4fd4ea9c4bc7f91ce0486adedf81a93f5459c83","all-forms-preview-002-0002","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.103","3","1","raw PDF page 1; AGA 002.103; Protocol question column","NAMCARs 139.10.2 | NAMCATS 139.10.2","Are the dimensions of the runway of the military aerodrome compatible with the type of aircraft the applicant intends to use?","sha256:4092fe3924529c77aa2041eff21926cb0bf63ddf67415f16c4df5d7de363eaf2","all-forms-preview-002-0003","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.104","4","2","raw PDF page 2; AGA 002.104; Protocol question column","NAMCARs 139.09.9 | NAMCATS 139.09.9","Has the organization declared distances for each runway?","sha256:4143e582fbe43af38b924161d597a9377729984a92d9e64107626d77a369a8c7","all-forms-preview-002-0004","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.105","5","2","raw PDF page 2; AGA 002.105; Protocol question column","NAMCARs 139.09.9 | NAMCATS 139.09.9","Are the declared distances for the runways intended to civil aircraft compatible with the type of aircraft the applicant intends to use?","sha256:cc61a5d090f86aafd0facb5ea33234d71429df978d1b492a8732d43ec4756f23","all-forms-preview-002-0005","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.106","6","2","raw PDF page 2; AGA 002.106; Protocol question column","NAMCARs 139.09.9 | NAMCATS 139.09.9 | NAMCARs 139.10.4 | NAMCATS 139.10.4","Are the runways intended for civil aircraft provided with turn pad?","sha256:db85f759d0b36a36d4096f0c10c5bb7b3b6943af9f7634a9dc195ff58d7b2827","all-forms-preview-002-0006","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.108","7","2","raw PDF page 2; AGA 002.108; Protocol question column","NAMCARs 139.10.4 | NAMCATS 139.10.4 | NAMCARs 139.10.8 | NAMCATS 139.10.8 | NAMCARs 139.10.5 | NAMCATS 139.10.5","Is the runway and any associated stopways included in an adequate strip?","sha256:ee85aba0b0a10132754f4ab05600015e557330b1d5ca228647d33ae92b055d8a","all-forms-preview-002-0007","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.109","8","2","raw PDF page 2; AGA 002.109; Protocol question column","NAMCARs 139.10.4 | NAMCATS 139.10.4 | NAMCARs 139.10.8 | NAMCATS 139.10.8 | NAMCARs 139.10.5 | NAMCATS 139.10.5 | NAMCARs 139.10.6","Is the runway strip free from fixed object, other than frangible visual aids required for air navigation purposes?","sha256:1ca8a53bb9cd307636d748d2da354dde7b61a304a4e502ce6dcae405c0fe7f49","all-forms-preview-002-0008","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.110","9","2","raw PDF page 2; AGA 002.110; Protocol question column","NAMCARs 139.10.8 | NAMCATS 139.10.8 | NAMCARs 139.10.5 | NAMCATS 139.10.5 | NAMCARs 139.10.6 | NAMCATS 139.10.6","Are the runways strips intended to civil aircraft provided with runway end safety area?","sha256:0406401f6ee73e9b9545e872aca5aa4400fdf9ca8fc6c0af4ff6d4b4974941f3","all-forms-preview-002-0009","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
"FSS-AGA-FORM-002","AGA 002.111","10","3","raw PDF page 3; AGA 002.111; Protocol question column","NAMCARs 139.10.6 | NAMCATS 139.10.6 | NAMCARs 139.10.10 | NAMCATS 139.10.10","Are the dimensions of the taxiways of the military aerodrome compatible with the type of aircraft the applicant intends to use?","sha256:22a948189fa429c8d4da8ed2bae5f0b0e70142b3f1f20d33fc10efa79b4e4503","all-forms-preview-002-0010","PROPOSED_SAFETY_CRITICAL","AERODROME_OPERATIONAL_SAFETY","true","SOURCE_MAPPING_REQUIRED","NOT_ATTESTED","CANDIDATE_INTERPRETATION_REQUIRES_EXPERT_REVIEW","NOT_SUPPLIED"
